Method,Execution Time (s)
c-simple,40.933414
c-simple,42.557001
c-simple,41.405323
c-fork,4.622893
c-fork,3.735073
c-fork,4.773142
c-fork,4.735576
c-fork,4.770408
python-np-float,3.270613
python-np-float,3.119451
python-np-float,3.115375
python-np-float,3.108291
python-np-float,3.278322
python-np-int,37.544601
python-np-int,37.408570
python-np-int,37.931027
rust-simple,8.709272
rust-simple,8.970122
rust-simple,9.042299
rust-parallel,6.228919
rust-parallel,5.791298
rust-parallel,5.809883
rust-simple-simd,3.939551
rust-simple-simd,3.926663
rust-simple-simd,4.087345
rust-parallel-simd,0.61935
rust-parallel-simd,0.64658
rust-parallel-simd,0.64449
rust-parallel-simd,0.60396
rust-parallel-simd,0.61236
